Date,Contest number,Word,Number of  reported results,Number in hard mode,1 try,2 tries,3 tries,4 tries,5 tries,6 tries,7 or more tries (X),year,month,day,day_of_week,day_name,week_of_year,day_of_year,quarter,is_weekend,is_first_day,is_last_day,season,school_period,is_school_day,days_since_start,is_holiday,holiday_name,is_major_holiday,days_from_holiday,trend,residuals,residuals_pct,yesterday_raw,yesterday_residual,change_from_yesterday,residual_change,residual_lag_2,past_2day_avg_residual,residual_lag_3,past_3day_avg_residual,residual_lag_7,past_7day_avg_residual,month_name
2022-01-18,213,proxy,220950,6206,1,2,11,24,31,26,6,2022,1,18,1,Tuesday,3,18,1,False,False,False,Winter,Spring Semester,True,11,False,,False,1.0,220314,636,0.2886788855905662,222197.0,8422.0,-1247.0,-7786.0,2150.0,5286.0,4424.0,4998.666666666667,-28389.0,-20909.85714285714,January
2022-01-19,214,point,280622,7094,1,16,37,28,12,4,1,2022,1,19,2,Wednesday,3,19,1,False,False,False,Winter,Spring Semester,True,12,False,,False,2.0,226986,53636,23.62965116791344,220950.0,636.0,59672.0,53000.0,8422.0,4529.0,2150.0,3736.0,-48597.0,-16763.428571428572,January
2022-01-20,215,robot,243964,6589,1,8,29,34,20,8,1,2022,1,20,3,Thursday,3,20,1,False,False,False,Winter,Spring Semester,True,13,False,,False,,233706,10258,4.389275414409558,280622.0,53636.0,-36658.0,-43378.0,636.0,27136.0,8422.0,20898.0,-58010.0,-2158.714285714286,January
2022-01-21,216,prick,273727,7409,1,8,30,33,19,7,1,2022,1,21,4,Friday,3,21,1,False,False,False,Winter,Spring Semester,True,14,False,,False,,240388,33339,13.868828726891525,243964.0,10258.0,29763.0,23081.0,53636.0,31947.0,636.0,21510.0,-26369.0,7593.857142857143,January
2022-01-22,217,wince,241489,6850,1,3,17,33,29,15,3,2022,1,22,5,Saturday,3,22,1,True,False,False,Winter,Spring Semester,False,15,False,,False,,246955,-5466,-2.2133587090765525,273727.0,33339.0,-32238.0,-38805.0,10258.0,21798.5,53636.0,32411.0,4424.0,16123.57142857143,January
2022-01-23,218,crimp,269929,7630,1,5,28,38,20,7,1,2022,1,23,6,Sunday,3,23,1,True,False,False,Winter,Spring Semester,False,16,False,,False,,253333,16596,6.5510612513963835,241489.0,-5466.0,28440.0,22062.0,33339.0,13936.5,10258.0,12710.333333333334,2150.0,14710.714285714286,January
2022-01-24,219,knoll,258038,8317,1,1,11,29,33,21,4,2022,1,24,0,Monday,4,24,1,False,False,False,Winter,Spring Semester,True,17,False,,False,,259454,-1416,-0.5457614837312201,269929.0,16596.0,-11891.0,-18012.0,-5466.0,5565.0,33339.0,14823.0,8422.0,16774.428571428572,January
2022-01-25,220,sugar,276404,8708,1,6,25,34,23,9,1,2022,1,25,1,Tuesday,4,25,1,False,False,False,Winter,Spring Semester,True,18,False,,False,,265259,11145,4.201553952929024,258038.0,-1416.0,18366.0,12561.0,16596.0,7590.0,-5466.0,3238.0,636.0,15369.0,January
2022-01-26,221,whack,302348,10163,1,4,22,37,24,10,2,2022,1,26,2,Wednesday,4,26,1,False,False,False,Winter,Spring Semester,True,19,False,,False,,270695,31653,11.693234082639133,276404.0,11145.0,25944.0,20508.0,-1416.0,4864.5,16596.0,8775.0,53636.0,16870.285714285714,January
2022-01-27,222,mount,331844,11451,1,9,29,33,19,7,1,2022,1,27,3,Thursday,4,27,1,False,False,False,Winter,Spring Semester,True,20,False,,False,,275718,56126,20.356306080850725,302348.0,31653.0,29496.0,24473.0,11145.0,21399.0,-1416.0,13794.0,10258.0,13729.857142857143,January
2022-01-28,223,perky,296968,11148,1,4,17,30,27,17,4,2022,1,28,4,Friday,4,28,1,False,False,False,Winter,Spring Semester,True,21,False,,False,,280293,16675,5.949131801365,331844.0,56126.0,-34876.0,-39451.0,31653.0,43889.5,11145.0,32974.666666666664,33339.0,20282.428571428572,January
2022-01-29,224,could,313220,11592,1,7,29,35,20,8,1,2022,1,29,5,Saturday,4,29,1,True,False,False,Winter,Spring Semester,False,22,False,,False,,284392,28828,10.136712706405243,296968.0,16675.0,16252.0,12153.0,56126.0,36400.5,31653.0,34818.0,-5466.0,17901.85714285714,January
2022-01-30,225,wrung,294687,11524,0,2,18,39,27,12,2,2022,1,30,6,Sunday,4,30,1,True,False,False,Winter,Spring Semester,False,23,False,,False,,287996,6691,2.3232961568910677,313220.0,28828.0,-18533.0,-22137.0,16675.0,22751.5,56126.0,33876.333333333336,16596.0,22801.0,January
2022-01-31,226,light,341314,13347,1,10,25,27,19,12,5,2022,1,31,0,Monday,5,31,1,False,False,True,Winter,Spring Semester,True,24,False,,False,,291092,50222,17.25296469844585,294687.0,6691.0,46627.0,43531.0,28828.0,17759.5,16675.0,17398.0,-1416.0,21386.0,January
2022-02-01,227,those,351663,13606,1,13,34,30,15,6,1,2022,2,1,1,Tuesday,5,32,1,False,True,False,Winter,Spring Semester,True,25,False,,False,,293678,57985,19.74441394997242,341314.0,50222.0,10349.0,7763.0,6691.0,28456.5,28828.0,28580.333333333332,11145.0,28762.85714285714,February
2022-02-02,228,moist,361908,14205,3,13,32,29,16,7,1,2022,2,2,2,Wednesday,5,33,1,False,False,False,Winter,Spring Semester,True,26,False,,False,,295756,66152,22.36708638201761,351663.0,57985.0,10245.0,8167.0,50222.0,54103.5,6691.0,38299.333333333336,31653.0,35454.28571428572,February
2022-02-03,229,shard,358176,14609,1,7,22,28,25,14,4,2022,2,3,3,Thursday,5,34,1,False,False,False,Winter,Spring Semester,True,27,False,,False,,297337,60839,20.461294759817985,361908.0,66152.0,-3732.0,-5313.0,57985.0,62068.5,50222.0,58119.666666666664,56126.0,40382.71428571428,February
2022-02-04,230,pleat,359679,14813,1,10,28,31,19,9,2,2022,2,4,4,Friday,5,35,1,False,False,False,Winter,Spring Semester,True,28,False,,False,,298438,61241,20.520510122705556,358176.0,60839.0,1503.0,402.0,66152.0,63495.5,57985.0,61658.666666666664,16675.0,41056.0,February
2022-02-05,231,aloft,319698,13708,1,4,22,36,25,11,2,2022,2,5,5,Saturday,5,36,1,True,False,False,Winter,Spring Semester,False,29,False,,False,,299079,20619,6.8941650868165265,359679.0,61241.0,-39981.0,-40622.0,60839.0,61040.0,66152.0,62744.0,28828.0,47422.57142857143,February
2022-02-06,232,skill,311018,13716,1,3,17,33,27,16,3,2022,2,6,6,Sunday,5,37,1,True,False,False,Winter,Spring Semester,False,30,False,,False,,299285,11733,3.9203434853066472,319698.0,20619.0,-8680.0,-8886.0,61241.0,40930.0,60839.0,47566.333333333336,6691.0,46249.857142857145,February
2022-02-07,233,elder,288228,13340,1,3,13,24,30,24,5,2022,2,7,0,Monday,6,38,1,False,False,False,Winter,Spring Semester,True,31,False,,False,,299085,-10857,-3.6300717187421636,311018.0,11733.0,-22790.0,-22590.0,20619.0,16176.0,61241.0,31197.666666666668,50222.0,46970.142857142855,February
2022-02-08,234,frame,336236,15369,1,10,20,24,24,17,3,2022,2,8,1,Tuesday,6,39,1,False,False,False,Winter,Spring Semester,True,32,False,,False,,298510,37726,12.638102576128102,288228.0,-10857.0,48008.0,48583.0,11733.0,438.0,20619.0,7165.0,57985.0,38244.57142857143,February
2022-02-09,235,humor,305372,13846,1,5,22,34,25,11,2,2022,2,9,2,Wednesday,6,40,1,False,False,False,Winter,Spring Semester,True,33,False,,False,,297591,7781,2.614662405785121,336236.0,37726.0,-30864.0,-29945.0,-10857.0,13434.5,11733.0,12867.333333333334,66152.0,35350.42857142857,February
2022-02-10,236,pause,304830,13480,1,8,26,32,21,10,2,2022,2,10,3,Thursday,6,41,1,False,False,False,Winter,Spring Semester,True,34,False,,False,,296361,8469,2.857663457742415,305372.0,7781.0,-542.0,688.0,37726.0,22753.5,-10857.0,11550.0,60839.0,27011.714285714286,February
2022-02-11,237,ulcer,278826,10631,1,4,18,30,28,16,3,2022,2,11,4,Friday,6,42,1,False,False,False,Winter,Spring Semester,True,35,False,,False,,294849,-16023,-5.434307052084287,304830.0,8469.0,-26004.0,-24492.0,7781.0,8125.0,37726.0,17992.0,61241.0,19530.285714285714,February
2022-02-12,238,ultra,269885,9310,1,7,23,34,24,10,1,2022,2,12,5,Saturday,6,43,1,True,False,False,Winter,Spring Semester,False,36,False,,False,-2.0,293087,-23202,-7.916420721492254,278826.0,-16023.0,-8941.0,-7179.0,8469.0,-3777.0,7781.0,75.66666666666667,20619.0,8492.57142857143,February
2022-02-13,239,robin,277471,3249,1,6,29,34,21,8,1,2022,2,13,6,Sunday,6,44,1,True,False,False,Winter,Spring Semester,False,37,False,,False,-1.0,291100,-13629,-4.681896255582274,269885.0,-23202.0,7586.0,9573.0,-16023.0,-19612.5,8469.0,-10252.0,11733.0,2232.4285714285716,February
2022-02-14,240,cynic,261521,10343,1,6,25,33,22,11,2,2022,2,14,0,Monday,7,45,1,False,False,False,Winter,Spring Semester,True,38,True,Valentine's Day,False,0.0,288915,-27394,-9.481681463406193,277471.0,-13629.0,-15950.0,-13765.0,-23202.0,-18415.5,-16023.0,-17618.0,-10857.0,-1390.7142857142858,February
2022-02-15,241,aroma,287836,10343,1,6,25,33,22,11,2,2022,2,15,1,Tuesday,7,46,1,False,False,False,Winter,Spring Semester,True,39,False,,False,1.0,286553,1283,0.44773567193503466,261521.0,-27394.0,26315.0,28677.0,-13629.0,-20511.5,-23202.0,-21408.333333333332,37726.0,-3753.1428571428573,February
2022-02-16,242,caulk,289721,10740,1,4,20,31,26,15,3,2022,2,16,2,Wednesday,7,47,1,False,False,False,Winter,Spring Semester,True,40,False,,False,2.0,284033,5688,2.0025842067647073,287836.0,1283.0,1885.0,4405.0,-27394.0,-13055.5,-13629.0,-13246.666666666666,7781.0,-8959.285714285714,February
2022-02-17,243,shake,342003,12767,1,6,16,23,24,21,9,2022,2,17,3,Thursday,7,48,1,False,False,False,Winter,Spring Semester,True,41,False,,False,,281371,60632,21.54877368314432,289721.0,5688.0,52282.0,54944.0,1283.0,3485.5,-27394.0,-6807.666666666667,8469.0,-9258.285714285714,February
2022-02-18,244,dodge,265238,10220,1,3,15,29,27,19,7,2022,2,18,4,Friday,7,49,1,False,False,False,Winter,Spring Semester,True,42,False,,False,,278582,-13344,-4.789972072854671,342003.0,60632.0,-76765.0,-73976.0,5688.0,33160.0,1283.0,22534.333333333332,-16023.0,-1806.4285714285713,February
2022-02-19,245,swill,282327,11241,1,1,8,19,31,30,10,2022,2,19,5,Saturday,7,50,1,True,False,False,Winter,Spring Semester,False,43,False,,False,-2.0,275677,6650,2.4122433137331005,265238.0,-13344.0,17089.0,19994.0,60632.0,23644.0,5688.0,17658.666666666668,-23202.0,-1423.7142857142858,February
2022-02-20,246,tacit,273306,11094,1,4,21,32,26,14,3,2022,2,20,6,Sunday,7,51,1,True,False,False,Winter,Spring Semester,False,44,False,,False,-1.0,272665,641,0.23508701153430034,282327.0,6650.0,-9021.0,-6009.0,-13344.0,-3347.0,60632.0,17979.333333333332,-13629.0,2840.8571428571427,February
2022-02-21,247,other,278731,10887,1,9,26,30,21,10,2,2022,2,21,0,Monday,8,52,1,False,False,False,Winter,Spring Semester,True,45,True,Presidents' Day,False,0.0,269554,9177,3.4045126393969296,273306.0,641.0,5425.0,8536.0,6650.0,3645.5,-13344.0,-2017.6666666666667,-27394.0,4879.428571428572,February
2022-02-22,248,thorn,306356,11814,1,14,38,30,12,4,0,2022,2,22,1,Tuesday,8,53,1,False,False,False,Winter,Spring Semester,True,46,False,,False,1.0,266353,40003,15.018790852740535,278731.0,9177.0,27625.0,30826.0,641.0,4909.0,6650.0,5489.333333333333,1283.0,10103.857142857143,February
2022-02-23,249,trove,277576,11411,1,5,16,24,25,22,8,2022,2,23,2,Wednesday,8,54,1,False,False,False,Winter,Spring Semester,True,47,False,,False,2.0,263067,14509,5.51532499325267,306356.0,40003.0,-28780.0,-25494.0,9177.0,24590.0,641.0,16607.0,5688.0,15635.285714285714,February
2022-02-24,250,bloke,250674,10405,1,6,21,32,25,12,2,2022,2,24,3,Thursday,8,55,1,False,False,False,Winter,Spring Semester,True,48,False,,False,,259703,-9029,-3.4766637274116974,277576.0,14509.0,-26902.0,-23538.0,40003.0,27256.0,9177.0,21229.666666666668,60632.0,16895.428571428572,February
2022-02-25,251,vivid,255907,11687,1,2,10,29,33,21,4,2022,2,25,4,Friday,8,56,1,False,False,False,Winter,Spring Semester,True,49,False,,False,,256267,-360,-0.14047848532975374,250674.0,-9029.0,5233.0,8669.0,14509.0,2740.0,40003.0,15161.0,-13344.0,6943.857142857143,February
2022-02-26,252,spill,248363,10087,1,5,26,34,22,10,2,2022,2,26,5,Saturday,8,57,1,True,False,False,Winter,Spring Semester,False,50,False,,False,,252767,-4404,-1.7423160460028404,255907.0,-360.0,-7544.0,-4044.0,-9029.0,-4694.5,14509.0,1706.6666666666667,6650.0,8798.714285714286,February
2022-02-27,253,chant,250413,10438,1,9,33,33,16,7,1,2022,2,27,6,Sunday,8,58,1,True,False,False,Winter,Spring Semester,False,51,False,,False,,249210,1203,0.4827254123028771,248363.0,-4404.0,2050.0,5607.0,-360.0,-2382.0,-9029.0,-4597.666666666667,641.0,7219.571428571428,February
2022-02-28,254,choke,251094,10521,1,8,30,36,18,6,1,2022,2,28,0,Monday,9,59,1,False,False,True,Winter,Spring Semester,True,52,False,,False,,245604,5490,2.235305613915083,250413.0,1203.0,681.0,4287.0,-4404.0,-1600.5,-360.0,-1187.0,9177.0,7299.857142857143,February
2022-03-01,255,rupee,240137,10577,1,2,17,35,30,13,2,2022,3,1,1,Tuesday,9,60,1,False,True,False,Spring,Spring Semester,True,53,False,,False,,241958,-1821,-0.7526099570999926,251094.0,5490.0,-10957.0,-7311.0,1203.0,3346.5,-4404.0,763.0,40003.0,6773.142857142857,March
2022-03-02,256,nasty,257304,10813,1,7,26,31,21,11,2,2022,3,2,2,Wednesday,9,61,1,False,False,False,Spring,Spring Semester,True,54,False,,False,,238279,19025,7.9843376881722685,240137.0,-1821.0,17167.0,20846.0,5490.0,1834.5,1203.0,1624.0,14509.0,798.2857142857143,March
2022-03-03,257,mourn,240018,10465,1,8,29,34,19,8,1,2022,3,3,3,Thursday,9,62,1,False,False,False,Spring,Spring Semester,True,55,False,,False,,234578,5440,2.319058053184868,257304.0,19025.0,-17286.0,-13585.0,-1821.0,8602.0,5490.0,7564.666666666667,-9029.0,1443.4285714285713,March
2022-03-04,258,ahead,203730,9396,1,5,20,35,26,12,2,2022,3,4,4,Friday,9,63,1,False,False,False,Spring,Spring Semester,True,56,False,,False,,230863,-27133,-11.752857755465362,240018.0,5440.0,-36288.0,-32573.0,19025.0,12232.5,-1821.0,7548.0,-360.0,3510.4285714285716,March
2022-03-05,259,brine,229895,10405,1,9,25,29,22,12,3,2022,3,5,5,Saturday,9,64,1,True,False,False,Spring,Spring Semester,False,57,False,,False,,227144,2751,1.2111259817560667,203730.0,-27133.0,26165.0,29884.0,5440.0,-10846.5,19025.0,-889.3333333333334,-4404.0,-314.2857142857143,March
2022-03-06,260,cloth,218595,9911,1,8,33,34,17,7,1,2022,3,6,6,Sunday,9,65,1,True,False,False,Spring,Spring Semester,False,58,False,,False,,223429,-4834,-2.1635508371787013,229895.0,2751.0,-11300.0,-7585.0,-27133.0,-12191.0,5440.0,-6314.0,1203.0,707.8571428571429,March
2022-03-07,261,hoard,218595,9823,1,9,30,34,19,7,1,2022,3,7,0,Monday,10,66,1,False,False,False,Spring,Spring Semester,True,59,False,,False,,219727,-1132,-0.5151847519876939,218595.0,-4834.0,0.0,3702.0,2751.0,-1041.5,-27133.0,-9738.666666666666,5490.0,-154.57142857142858,March
2022-03-08,262,sweet,207473,9767,1,5,18,31,28,15,2,2022,3,8,1,Tuesday,10,67,1,False,False,False,Spring,Spring Semester,True,60,False,,False,,216046,-8573,-3.9681364153930185,218595.0,-1132.0,-11122.0,-7441.0,-4834.0,-2983.0,2751.0,-1071.6666666666667,-1821.0,-1100.5714285714287,March
2022-03-09,263,month,201799,9435,1,5,26,37,22,8,1,2022,3,9,2,Wednesday,10,68,1,False,False,False,Spring,Spring Semester,True,61,False,,False,,212394,-10595,-4.988370669604603,207473.0,-8573.0,-5674.0,-2022.0,-1132.0,-4852.5,-4834.0,-4846.333333333333,19025.0,-2065.1428571428573,March
2022-03-10,264,lapse,208884,9960,0,8,31,34,19,7,1,2022,3,10,3,Thursday,10,69,1,False,False,False,Spring,Spring Semester,False,62,False,,False,,208779,105,0.05029241446697226,201799.0,-10595.0,7085.0,10700.0,-8573.0,-9584.0,-1132.0,-6766.666666666667,5440.0,-6296.571428571428,March
2022-03-11,265,watch,226349,12400,1,6,14,18,17,24,20,2022,3,11,4,Friday,10,70,1,False,False,False,Spring,Spring Semester,False,63,False,,False,,205205,21144,10.303842498964451,208884.0,105.0,17465.0,21039.0,-10595.0,-5245.0,-8573.0,-6354.333333333333,-27133.0,-7058.714285714285,March
2022-03-12,266,today,192049,9353,1,7,29,35,20,7,1,2022,3,12,5,Saturday,10,71,1,True,False,False,Spring,Spring Semester,False,64,False,,False,,201679,-9630,-4.774914592000159,226349.0,21144.0,-34300.0,-30774.0,105.0,10624.5,-10595.0,3551.3333333333335,2751.0,-162.0,March
2022-03-13,267,focus,179436,8937,1,4,23,36,24,10,1,2022,3,13,6,Sunday,10,72,1,True,False,False,Spring,Spring Semester,False,65,False,,False,,198206,-18770,-9.469945410330666,192049.0,-9630.0,-12613.0,-9140.0,21144.0,5757.0,105.0,3873.0,-4834.0,-1930.7142857142858,March
2022-03-14,268,smelt,185406,9373,0,5,19,33,28,13,2,2022,3,14,0,Monday,11,73,1,False,False,False,Spring,Spring Semester,False,66,False,,False,,194790,-9384,-4.817495764669644,179436.0,-18770.0,5970.0,9386.0,-9630.0,-14200.0,21144.0,-2418.6666666666665,-1132.0,-3921.5714285714284,March
2022-03-15,269,tease,202855,10024,1,16,32,30,16,6,1,2022,3,15,1,Tuesday,11,74,1,False,False,False,Spring,Spring Semester,False,67,False,,False,-2.0,191433,11422,5.966578385126911,185406.0,-9384.0,17449.0,20806.0,-18770.0,-14077.0,-9630.0,-12594.666666666666,-8573.0,-5100.428571428572,March
2022-03-16,270,cater,217856,11234,1,7,19,22,19,18,15,2022,3,16,2,Wednesday,11,75,1,False,False,False,Spring,Spring Semester,False,68,False,,False,-1.0,188140,29716,15.794621026894864,202855.0,11422.0,15001.0,18294.0,-9384.0,1019.0,-18770.0,-5577.333333333333,-10595.0,-2244.0,March
2022-03-17,271,movie,169071,8847,1,5,18,30,26,16,3,2022,3,17,3,Thursday,11,76,1,False,False,False,Spring,Spring Semester,False,69,True,St. Patrick's Day,False,0.0,184912,-15841,-8.566777710478497,217856.0,29716.0,-48785.0,-45557.0,11422.0,20569.0,-9384.0,10584.666666666666,105.0,3514.714285714286,March
2022-03-18,272,saute,179830,9304,1,8,31,34,19,6,1,2022,3,18,4,Friday,11,77,1,False,False,False,Spring,Spring Semester,False,70,False,,False,1.0,181749,-1919,-1.0558517515914805,169071.0,-15841.0,10759.0,13922.0,29716.0,6937.5,11422.0,8432.333333333334,21144.0,1236.7142857142858,March
2022-03-19,273,allow,156311,8515,0,5,21,32,26,14,3,2022,3,19,5,Saturday,11,78,1,True,False,False,Spring,Spring Semester,False,71,False,,False,2.0,178654,-22343,-12.506297088226404,179830.0,-1919.0,-23519.0,-20424.0,-15841.0,-8880.0,29716.0,3985.3333333333335,-9630.0,-2058.0,March
2022-03-20,274,renew,154987,8417,0,4,20,33,27,13,2,2022,3,20,6,Sunday,11,79,1,True,False,False,Spring,Spring Semester,False,72,False,,False,,175625,-20638,-11.7511743772242,156311.0,-22343.0,-1324.0,1705.0,-1919.0,-12131.0,-15841.0,-13367.666666666666,-18770.0,-3874.1428571428573,March
2022-03-21,275,their,173636,9200,2,14,36,30,13,4,0,2022,3,21,0,Monday,12,80,1,False,False,False,Spring,Spring Semester,False,73,False,,False,,172660,976,0.5652727904552299,154987.0,-20638.0,18649.0,21614.0,-22343.0,-21490.5,-1919.0,-14966.666666666666,-9384.0,-4141.0,March
2022-03-22,276,slosh,160161,8807,0,2,19,36,27,13,2,2022,3,22,1,Tuesday,12,81,1,False,False,False,Spring,Spring Semester,False,74,False,,False,,169761,-9600,-5.655009101030272,173636.0,976.0,-13475.0,-10576.0,-20638.0,-9831.0,-22343.0,-14001.666666666666,11422.0,-2661.0,March
2022-03-23,277,purge,156785,8555,1,4,22,35,26,11,2,2022,3,23,2,Wednesday,12,82,1,False,False,False,Spring,Spring Semester,False,75,False,,False,,166925,-10140,-6.074584394189007,160161.0,-9600.0,-3376.0,-540.0,976.0,-4312.0,-20638.0,-9754.0,29716.0,-5664.142857142857,March
2022-03-24,278,chest,169066,9318,1,14,35,31,14,5,1,2022,3,24,3,Thursday,12,83,1,False,False,False,Spring,Spring Semester,False,76,False,,False,,164151,4915,2.9941943698180333,156785.0,-10140.0,12281.0,15055.0,-9600.0,-9870.0,976.0,-6254.666666666667,-15841.0,-11357.857142857143,March
2022-03-25,279,depot,150197,8562,0,5,29,36,20,7,1,2022,3,25,4,Friday,12,84,1,False,False,False,Spring,Spring Semester,False,77,False,,False,,161436,-11239,-6.961892019128323,169066.0,4915.0,-18869.0,-16154.0,-10140.0,-2612.5,-9600.0,-4941.666666666667,-1919.0,-8392.714285714286,March
2022-03-26,280,epoxy,149507,9376,0,2,13,31,33,18,3,2022,3,26,5,Saturday,12,85,1,True,False,False,Spring,Spring Semester,False,78,False,,False,,158778,-9271,-5.8389701344014915,150197.0,-11239.0,-690.0,1968.0,4915.0,-3162.0,-10140.0,-5488.0,-22343.0,-9724.142857142857,March
2022-03-27,281,nymph,165468,9935,1,2,18,44,26,26,9,2022,3,27,6,Sunday,12,86,1,True,False,False,Spring,Spring Semester,False,79,False,,False,,156175,9293,5.950376180566672,149507.0,-9271.0,15961.0,18564.0,-11239.0,-10255.0,4915.0,-5198.333333333333,-20638.0,-7856.714285714285,March
2022-03-28,282,found,173696,10613,1,6,17,22,20,21,14,2022,3,28,0,Monday,13,87,1,False,False,False,Spring,Spring Semester,True,80,False,,False,,153625,20071,13.06493083807974,165468.0,9293.0,8228.0,10778.0,-9271.0,11.0,-11239.0,-3739.0,976.0,-3580.8571428571427,March
2022-03-29,283,shall,149070,8494,0,3,17,30,28,17,4,2022,3,29,1,Tuesday,13,88,1,False,False,False,Spring,Spring Semester,True,81,False,,False,,151126,-2056,-1.3604541905429905,173696.0,20071.0,-24626.0,-22127.0,9293.0,14682.0,-9271.0,6697.666666666667,-9600.0,-853.0,March
2022-03-30,284,stove,158139,9318,0,5,16,24,27,21,6,2022,3,30,2,Wednesday,13,89,1,False,False,False,Spring,Spring Semester,True,82,False,,False,,148678,9461,6.363416241811162,149070.0,-2056.0,9069.0,11517.0,20071.0,9007.5,9293.0,9102.666666666666,-10140.0,224.71428571428572,March
2022-03-31,285,lowly,135219,8469,0,2,9,26,32,24,8,2022,3,31,3,Thursday,13,90,1,False,False,True,Spring,Spring Semester,True,83,False,,False,,146278,-11059,-7.560261966939663,158139.0,9461.0,-22920.0,-20520.0,-2056.0,3702.5,20071.0,9158.666666666666,4915.0,3024.8571428571427,March
2022-04-01,286,snout,144648,8913,1,4,19,27,26,18,5,2022,4,1,4,Friday,13,91,2,False,True,False,Spring,Spring Semester,False,84,False,,False,,143927,721,0.5009483974514858,135219.0,-11059.0,9429.0,11780.0,9461.0,-799.0,-2056.0,-1218.0,-11239.0,742.8571428571429,April
2022-04-02,287,trope,155079,9315,1,16,33,28,15,6,1,2022,4,2,5,Saturday,13,92,2,True,False,False,Spring,Spring Semester,False,85,False,,False,,141622,13457,9.502054765502535,144648.0,721.0,10431.0,12736.0,-11059.0,-5169.0,9461.0,-292.3333333333333,-9271.0,2451.4285714285716,April
